lane_barcode	hgsc_xfer_subdir	batch	sample_id/nwd_id	run_name	current_cram_name	new_cram_name	cram_path
HFFTTCCXY-1	CHS	CHS_batch29_2017-12-06	NWD933120	171123_E00538_0154_AHFFTTCCXY_1	HFFTTCCXY-1.hgv.cram	NWD933120-HFFTTCCXY-1.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171123_E00538_0154_AHFFTTCCXY/Results/Project_HFFTTCCXY/Sample_HFFTTCCXY-1/HFFTTCCXY-1.hgv.cram
HF7HVCCXY-7	CHS	CHS_batch29_2017-12-06	NWD638814	171123_E00366_0522_AHF7HVCCXY_7	HF7HVCCXY-7.hgv.cram	NWD638814-HF7HVCCXY-7.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00366/171123_E00366_0522_AHF7HVCCXY/Results/Project_HF7HVCCXY/Sample_HF7HVCCXY-7/HF7HVCCXY-7.hgv.cram
HF7HVCCXY-6	CHS	CHS_batch29_2017-12-06	NWD840789	171123_E00366_0522_AHF7HVCCXY_6	HF7HVCCXY-6.hgv.cram	NWD840789-HF7HVCCXY-6.hgv.cram	/stornext/snfs150/next-gen/Illumina/Instruments/E00366/171123_E00366_0522_AHF7HVCCXY/Results/Project_HF7HVCCXY/Sample_HF7HVCCXY-6/HF7HVCCXY-6.hgv.cram
HFFFFCCXY-2	CHS	CHS_batch29_2017-12-06	NWD466399	171124_ST-E00212_0643_BHFFFFCCXY_2	HFFFFCCXY-2.hgv.cram	NWD466399-HFFFFCCXY-2.hgv.cram	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171124_ST-E00212_0643_BHFFFFCCXY/Results/Project_HFFFFCCXY/Sample_HFFFFCCXY-2/HFFFFCCXY-2.hgv.cram
HFCLMCCXY-1	CHS	CHS_batch29_2017-12-06	NWD811239	171124_ST-E00238_0608_AHFCLMCCXY_1	HFCLMCCXY-1.hgv.cram	NWD811239-HFCLMCCXY-1.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0608_AHFCLMCCXY/Results/Project_HFCLMCCXY/Sample_HFCLMCCXY-1/HFCLMCCXY-1.hgv.cram
HFFNWCCXY-1	CHS	CHS_batch29_2017-12-06	NWD323466	171124_ST-E00238_0609_BHFFNWCCXY_1	HFFNWCCXY-1.hgv.cram	NWD323466-HFFNWCCXY-1.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0609_BHFFNWCCXY/Results/Project_HFFNWCCXY/Sample_HFFNWCCXY-1/HFFNWCCXY-1.hgv.cram
HFFNWCCXY-6	CHS	CHS_batch29_2017-12-06	NWD229299	171124_ST-E00238_0609_BHFFNWCCXY_6	HFFNWCCXY-6.hgv.cram	NWD229299-HFFNWCCXY-6.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0609_BHFFNWCCXY/Results/Project_HFFNWCCXY/Sample_HFFNWCCXY-6/HFFNWCCXY-6.hgv.cram
HFCLMCCXY-3	CHS	CHS_batch29_2017-12-06	NWD859928	171124_ST-E00238_0608_AHFCLMCCXY_3	HFCLMCCXY-3.hgv.cram	NWD859928-HFCLMCCXY-3.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0608_AHFCLMCCXY/Results/Project_HFCLMCCXY/Sample_HFCLMCCXY-3/HFCLMCCXY-3.hgv.cram
HFFNWCCXY-7	CHS	CHS_batch29_2017-12-06	NWD565257	171124_ST-E00238_0609_BHFFNWCCXY_7	HFFNWCCXY-7.hgv.cram	NWD565257-HFFNWCCXY-7.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0609_BHFFNWCCXY/Results/Project_HFFNWCCXY/Sample_HFFNWCCXY-7/HFFNWCCXY-7.hgv.cram
HFFNWCCXY-5	CHS	CHS_batch29_2017-12-06	NWD983208	171124_ST-E00238_0609_BHFFNWCCXY_5	HFFNWCCXY-5.hgv.cram	NWD983208-HFFNWCCXY-5.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171124_ST-E00238_0609_BHFFNWCCXY/Results/Project_HFFNWCCXY/Sample_HFFNWCCXY-5/HFFNWCCXY-5.hgv.cram
